Iteration,Time (ns)
532,9357100
533,8037100
534,7508800
535,7822900
536,7814800
537,8373800
538,7768300
539,9145500
540,8738500
541,8296800
542,9241500
543,11754800
544,8754300
545,7672400
546,7716500
547,7425300
548,7858400
549,7673200
550,7879100
551,7998600
552,8115100
553,8011600
554,8004000
555,7924600
556,8157700
557,7975900
558,11390900
559,9904500
560,7843500
561,8009200
562,7735000
563,8291600
564,7595100
565,8077300
566,9637500
567,10068400
568,8134000
569,7936600
570,7824600
571,7662600
572,7876200
573,8129000
574,8238600
575,7977200
576,8832500
577,8537200
578,8812600
579,8040200
580,9022300
581,10155900
582,8348800
583,8591400
584,8479100
585,9258400
586,9381300
587,8246900
588,7729700
589,8570100
590,7746600
591,7778300
592,7764300
593,8373600
594,8234700
595,8163400
596,8962700
597,9636500
598,7973000
599,13063800
600,15698700
