"medelvärden","nedre","övre"
12181283.5714286,11904620.7805984,12457946.3622588
11808526.9642857,11539763.2786826,12077290.6498889
11482910.7142857,11238699.6888537,11727121.7397178
12382668.3928571,12105127.0289918,12660209.7567225
11772814.2857143,11516537.7530475,12029090.8183811
11464635.3571429,11208801.6179235,11720469.0963622
11469497.5,11215176.2697915,11723818.7302085
11668113.0357143,11413109.7725034,11923116.2989251
12696132.5,12431280.988663,12960984.011337
12395734.4642857,12151765.2208951,12639703.7076764
10658574.4642857,10458533.2373477,10858615.6912238
11170946.25,10901556.3206725,11440336.1793275
11529154.6428571,11282200.334966,11776108.9507483
11429123.3928571,11183220.5218121,11675026.2639021
11420515,11178169.1416665,11662860.8583335
11364062.8571429,11111058.6707314,11617067.0435543
11505570.8928571,11261312.526141,11749829.2595733
12277272.3214286,12006386.1417764,12548158.5010807
11501695.8928571,11242685.3155621,11760706.4701522
11323764.4642857,11067294.1284446,11580234.8001269
11606393.3928571,11349197.2827595,11863589.5029548
11493874.1071429,11253876.8090658,11733871.4052199
12217307.3214286,11938187.3456793,12496427.2971779
11384887.1428571,11139990.7528303,11629783.5328839
11571860.3571429,11306656.7985647,11837063.915721
10612659.8214286,10436401.7864484,10788917.8564087
12156193.3928571,11881371.2365651,12431015.5491492
11333412.8571429,11098788.9892427,11568036.7250431
11242615.8928571,11012492.6319904,11472739.1537239
10936586.4285714,10715454.6899192,11157718.1672237
11995664.2857143,11757632.2632702,12233696.3081584
13211414.2857143,12928523.238077,13494305.3333516
11443901.9642857,11212557.1611414,11675246.76743
10903447.5,10680143.1579951,11126751.8420049
11494224.8214286,11216951.2997914,11771498.3430657
12232465.5357143,11965592.7654206,12499338.306008
10591163.75,10429740.8817928,10752586.6182072
11100053.5714286,10862064.2573518,11338042.8855053
10614690.5357143,10414907.2482685,10814473.82316
11618802.3214286,11374075.2355702,11863529.407287
10543137.5,10353951.1594528,10732323.8405472
11170458.75,10937023.094853,11403894.405147
11293057.3214286,11074172.4508414,11511942.1920157
14418051.9642857,13918965.4976753,14917138.4308961
13468584.1071429,13062852.0252648,13874316.1890209
12613726.7857143,12313363.5720493,12914089.9993792
10998696.9642857,10769209.8532786,11228184.0752928
14115950,13773127.9369476,14458772.0630524
12222502.8571429,11953690.9250412,12491314.7892445
11443355.8928571,11179401.2445803,11707310.541134
11249124.2857143,11016378.0943334,11481870.4770952
12155303.0357143,11881944.6208121,12428661.4506164
12151774.8214286,11871017.9310422,12432531.711815
11779426.4285714,11515939.3001105,12042913.5570324
11731785.8928571,11468594.1163528,11994977.6693615
11806393.9285714,11548683.5469175,12064104.3102253
12110715,11837899.0819578,12383530.9180422
11585817.8571429,11318721.3886134,11852914.3256723
10875957.3214286,10638391.056426,11113523.5864311
11583512.6785714,11327982.3988852,11839042.9582577
11007351.6071429,10777806.8466711,11236896.3676146
12049490.7142857,11773249.367592,12325732.0609794
11128663.3928571,10890936.0796559,11366390.7060584
10908414.1071429,10682274.9761746,11134553.2381111
10662018.0357143,10464525.1962872,10859510.8751414
12454801.6071429,12159258.3977227,12750344.816563
10956704.6428571,10730536.7175501,11182872.5681642
11141247.3214286,10908761.7107363,11373732.9321208
11123562.1428571,10895773.2486883,11351351.037026
11455823.0357143,11208816.7738086,11702829.2976199
12416906.6071429,12152434.6217787,12681378.592507
11398240.1785714,11151071.2106397,11645409.1465031
10654766.6071429,10451578.4405585,10857954.7737273
11256507.6785714,11024438.6940613,11488576.6630815
11309434.2857143,11060571.5197791,11558297.0516495
11729925.8928571,11473174.2298365,11986677.5558778
25894781.0642857,25036864.8011586,26752697.3274128
12179362.3285714,11930494.9801067,12428229.6770361
12212824.0803571,11946908.1617366,12478739.9989777
11829943.7571429,11570326.1100628,12089561.4042229
11051214.2428571,10782658.6229877,11319769.8627266
11573519.2910714,11315742.4427541,11831296.1393888
12810769.1464286,12504143.9456837,13117394.3471735
12933668.2232143,12406826.7063172,13460509.7401113
11514550.7107143,11252819.1438252,11776282.2776033
11241584.275,11004379.3780528,11478789.1719472
12530269.0839286,12250225.5451655,12810312.6226916
11786662.1446429,11518922.7048036,12054401.5844821
11939100.3660714,11659356.0953414,12218844.6368014
10603095.0053571,10400194.699825,10805995.3108893
12249760.1857143,11973638.1980004,12525882.1734282
11863829.3107143,11573030.6797586,12154627.94167
12416771.9767857,12139223.1372301,12694320.8163413
11578224.4482143,11336423.0398221,11820025.8566065
11388179.4446429,11143286.0305206,11633072.8587651
8842819.3125,8539684.23588075,9145954.38911925
7933055.025,7784940.82919023,8081169.22080977
7711096.81964286,7588457.63396563,7833736.00532008
7880536.99642857,7733886.83626444,8027187.15659271
7729267.88214286,7609108.46185697,7849427.30242875
