"medelvärden","nedre","övre"
998209.4,892227.956802456,1104190.84319754
512436.4,479229.336375186,545643.463624814
485435.8,450828.540016315,520043.059983685
498940.4,467119.227912934,530761.572087066
484219.2,444893.737610196,523544.662389804
559480.4,521992.62433433,596968.17566567
553096.2,514739.998688363,591452.401311637
463535.6,433185.967817857,493885.232182143
495431.8,462668.88924401,528194.71075599
601591.4,562822.918224791,640359.881775209
570148.2,527344.488705127,612951.911294873
448139.2,413115.290224498,483163.109775502
471722.8,440728.679835732,502716.920164268
520487.6,480744.978284402,560230.221715598
450668.4,421166.097870714,480170.702129286
520346.4,487629.022912906,553063.777087094
498128.2,464133.082489209,532123.317510791
524543.4,493011.971276688,556074.828723312
538849.6,496056.955434394,581642.244565606
527927.8,486836.121558378,569019.478441622
487403.4,457245.238202858,517561.561797142
548148.6,510411.227688215,585885.972311785
533403.8,493395.92413171,573411.67586829
527011.8,489284.40829465,564739.19170535
484078.4,452093.76021903,516063.03978097
910857.2,859180.235641576,962534.164358424
541633.4,506337.569891756,576929.230108244
802753.4,745878.903852342,859627.896147658
612879.4,568496.029435659,657262.770564341
467393.6,437882.483265262,496904.716734738
512751.2,476487.932370004,549014.467629996
424956.2,394380.502404423,455531.897595577
533134.6,495156.193353976,571113.006646024
627644.6,580894.471386884,674394.728613116
534579.4,499483.238354429,569675.561645571
439079.6,406754.515198692,471404.684801308
538176.4,501980.758152766,574372.041847234
600759.6,563880.81148331,637638.38851669
514718.4,481354.996481108,548081.803518892
503826.6,464247.820741935,543405.379258065
556206.4,516510.264065647,595902.535934353
667485,623640.56837781,711329.43162219
482899,452537.977655571,513260.022344429
466451.4,435716.757428813,497186.042571187
763852,614937.886447652,912766.113552348
700326.2,656388.472325634,744263.927674366
476659.8,442007.954589349,511311.645410651
525273.2,481527.303305148,569019.096694852
606299,559541.729778115,653056.270221885
518221.2,484501.504525189,551940.895474811
1077095.8,931594.258434389,1222597.34156561
1315856.4,1190647.10286047,1441065.69713953
1076393.6,771252.968051894,1381534.23194811
601017.6,557842.493128796,644192.706871204
936747,840268.331172984,1033225.66882702
984592.4,889894.554349727,1079290.24565027
753133.8,704448.149656964,801819.450343036
1365127.8,1233801.68264637,1496453.91735363
952305.4,864343.178770491,1040267.62122951
875068.8,778670.967639833,971466.632360168
771886.2,686526.425513809,857245.97448619
635772.4,583329.172992326,688215.627007674
577839.4,535792.630630644,619886.169369356
534308.6,499868.918572756,568748.281427244
609981.2,564579.356516567,655383.043483432
627635,587637.21545067,667632.78454933
548839.2,506810.402872195,590867.997127805
693125.8,635696.963371729,750554.636628271
724499.2,675916.542680195,773081.857319804
800460.2,708601.832022329,892318.567977671
1353334.4,1207109.10937594,1499559.69062406
1105171.2,982096.407934249,1228245.99206575
1014788.2,902681.086411487,1126895.31358851
886513.8,785066.585176053,987961.014823947
1112812.8,959474.682531785,1266150.91746822
1201911.2,1068420.64872776,1335401.75127224
872439,771943.347535322,972934.652464678
971859.6,869418.998355287,1074300.20164471
1408665.6,1234313.9712002,1583017.2287998
971863.4,854680.679958042,1089046.12004196
944735,837990.557474683,1051479.44252532
1078087.2,952478.624865532,1203695.77513447
511873.2,473613.676394856,550132.723605144
457880,414795.406035412,500964.593964588
541610.4,506959.115098191,576261.684901809
577418.4,535669.56500225,619167.23499775
514206.8,483785.013459722,544628.586540278
481354.2,442542.036945968,520166.363054032
688793.8,646807.973426808,730779.626573192
627905,584534.44964622,671275.55035378
615996.4,571393.426922019,660599.373077981
483385.4,445959.210384699,520811.589615301
456188.6,423468.215992113,488908.984007887
576567.2,538781.167391533,614353.232608467
449854.6,421874.13630411,477835.06369589
529852.8,493303.641316578,566401.958683423
612648.6,520613.632176439,704683.567823561
562984.8,523498.753191548,602470.846808452
578290,534375.371408401,622204.628591599
507741.8,478257.210743259,537226.389256741
