Iteration,Time (ns)
1,8734700
2,7642400
3,7402200
4,7558800
5,7579200
6,7627200
7,7258200
8,7365199
9,7366800
10,7337700
11,7808500
12,7387400
13,9431600
14,8423301
15,7762800
16,8999200
17,7329599
18,8112000
19,7227301
20,9703000
21,15973800
22,15786100
23,8786400
24,7826400
25,7170800
26,8097899
27,7225800
28,7828600
29,7267901
30,14710100
31,9092900
32,6995400
33,7299099
34,7015600
35,7530299
36,6781399
37,6894101
38,7107899
39,7243301
40,7373601
41,7213701
42,7343501
43,7237300
44,7822100
45,7250200
46,7229501
47,7139700
48,7495700
49,7205900
50,7538900
51,7129601
52,7250600
53,7858101
54,7103200
55,7912200
56,7749900
57,7333700
58,7029100
59,7282700
60,7002799
61,7699000
62,6921300
63,7820300
64,8072900
65,7400000
66,6708899
67,6958100
68,6962500
69,6996400
70,7738199
71,7167599
72,7672700
73,7192601
74,7925700
75,7132199
76,7542799
77,7554200
78,7877600
79,7376200
80,7775500
81,7461700
82,10179500
83,7019900
84,7911600
85,8181900
86,7268699
87,7001400
88,7209500
89,7271999
90,7544700
91,7151300
92,7632500
93,7465500
94,7888600
95,7254299
96,7571800
97,7205400
98,7670499
99,7217301
100,7239200
101,7503400
102,7475099
103,15117700
104,16701800
105,14656000
106,9005100
107,7080799
108,7591200
109,6971800
110,8731901
111,12743500
112,8892601
113,7079799
114,7085300
115,7339901
116,6986000
117,7917600
118,8749900
119,7209201
120,7587500
121,6877799
122,6890599
123,7233101
124,10225200
125,14712801
126,9176399
127,7034300
128,7196100
129,7348501
130,7066600
131,7704401
132,7169299
133,10420001
134,15249400
135,9606700
136,7163800
137,7842701
138,7277099
139,7532901
140,6994299
141,7835601
142,12684101
143,8120400
144,8532400
145,8230100
146,9070601
147,7659200
148,8179501
149,7514000
150,9812600
151,10187001
152,7831700
153,9294600
154,9077800
155,7216899
156,7231000
157,7352200
158,7477500
159,7329299
160,7724600
161,7266400
162,10079100
163,6869900
164,8868600
165,7468500
166,6838400
167,6981200
168,7149900
169,6722700
170,7042500
171,6800100
172,7473800
173,6772699
174,6945200
175,6686799
176,6850700
177,7187100
178,6768200
179,7831900
180,6597100
181,7291199
182,6813200
183,7106700
184,6935099
185,7399000
186,10016500
187,7113300
188,7346600
189,7169300
190,6534000
191,6304600
192,7023000
193,6525400
194,6981000
195,6522100
196,6598200
197,7008900
198,7323800
199,7035000
200,6673899
201,6731501
202,6230399
203,6891100
204,6530200
205,6822201
206,6611000
207,6276000
208,7627900
209,6805800
210,7452899
211,7228800
212,8529999
213,7062899
214,7387200
215,6595700
216,7319200
217,7031700
218,7064500
219,7171600
220,6985901
221,7521300
222,6311500
223,7434100
224,7092201
225,7596701
226,7128400
227,10387700
228,8809701
229,7839101
230,9088200
231,7078199
232,6527499
233,8225900
234,7980999
235,12028000
236,7757300
237,6799100
238,6801400
239,6896500
240,7408201
241,10327900
242,9085000
243,7963800
244,7239400
245,7170201
246,7171199
247,6954000
248,7241500
249,6956400
250,6514701
251,10200400
252,14446201
253,14164800
254,13957801
255,8402000
256,7574299
257,6329200
258,6848700
259,6744401
260,6572901
261,7033300
262,6476201
263,9006000
264,8286699
265,6954000
266,6995500
267,7414100
268,6674500
269,7064101
270,7406699
271,6453700
272,6753099
273,6583801
274,6807099
275,6559500
276,7215000
277,6513400
278,8196400
279,9043101
280,7157399
281,6521699
282,6693899
283,6535700
284,7056800
285,7167101
286,7128800
287,7559101
288,6874801
289,7531700
290,10478600
291,6887400
292,9337701
293,10847700
294,7596399
295,6837900
296,6928500
297,7297801
298,7041099
299,11816599
300,15165499
301,8849800
302,6615000
303,7069400
304,6496800
305,6303901
306,6776799
307,6833799
308,7485001
309,6764500
310,7964301
311,6898601
312,6936699
313,6887701
314,7005701
315,7205999
316,7144600
317,7341601
318,7181301
319,7276101
320,7110100
321,7358301
322,7030300
323,7294100
324,7189599
325,7066500
326,7908001
327,7134701
328,7011800
329,6998900
330,7865401
331,6652700
332,8871100
333,8112999
334,7134500
335,6557199
336,6773900
337,6783200
338,6711200
339,7781399
340,9386800
341,9494300
342,7660600
343,6992000
344,7196599
345,7529900
346,7756600
347,7503400
348,7446100
349,7495999
350,7434899
351,7577700
352,7041999
353,7324399
354,7189201
355,8335401
356,10851099
357,11600201
358,8662299
359,8340501
360,7641601
361,7497901
362,8374901
363,7081200
364,7474001
365,6642100
366,7358900
