Iteration,Time (ns)
1,22792100
2,26414000
3,13766000
4,13783400
5,9443900
6,9463100
7,12106300
8,9290600
9,10833200
10,10098500
11,11324100
12,9685200
13,12201900
14,9423600
15,10056200
16,11923900
17,11696700
18,16028000
19,16482600
20,14655600
21,13030600
22,10956800
23,10668800
24,15467500
25,18934000
26,21713700
27,13433400
28,12695600
29,18485000
30,19202900
31,12726200
32,16967600
33,16583000
34,16825600
35,17908600
36,17992300
37,12812300
38,20031800
39,28527100
40,14001500
41,11437000
42,12023500
43,12602300
44,11376100
45,9471600
46,9160400
47,12292900
48,17054300
49,14946000
50,14544300
51,11319300
52,13505600
53,12801300
54,12418500
55,13394000
56,18637800
57,13114400
58,12385300
59,17112900
60,19365300
61,16857200
62,16627200
63,16857800
64,18198500
65,16229000
66,10617300
67,9371200
68,11425100
69,10319300
70,9222800
71,10146100
72,10686500
73,9871700
74,9597500
75,10756300
76,8956400
77,10043700
78,9477800
79,10326600
80,11360200
81,14476700
82,12716500
83,10688400
84,10715400
85,14730800
86,15438000
87,9859100
88,12170800
89,21747100
90,18236500
91,17225200
92,17100800
93,18161900
94,12644900
95,10746700
96,10639700
97,16577900
98,20245000
99,15328600
100,10428000
101,9558700
102,10566900
103,8949500
104,9904500
105,9669800
106,11645300
107,15655400
108,22758200
109,18562600
110,17845700
111,16898800
112,16123300
113,18195800
114,19496900
115,18645300
116,16026000
117,10680900
118,9203100
119,9329300
120,8620900
121,10336400
122,9955400
123,8710000
124,11309100
125,8995600
126,9502600
127,10919600
128,9461000
129,9064500
130,12544300
131,8516600
132,9250900
133,9028800
134,9941100
135,10357900
136,13918300
137,14125600
138,9819900
139,15894900
140,13726500
141,12873300
142,13193000
143,12410600
144,15079000
145,13151900
146,8920500
147,9867400
148,15192700
149,14129900
150,9457300
151,11483200
152,8933400
153,9532500
154,12630500
155,13238200
156,11225100
157,10118200
158,10236400
159,9862300
160,9894700
161,12933000
162,14487700
163,12659300
164,10250100
165,8939700
166,11033500
167,9857800
168,9884000
169,10106800
170,9330200
171,9937200
172,11332700
173,9014600
174,9528800
175,10420900
176,9898800
177,10808700
178,9927300
179,9244500
180,9617500
181,9690200
182,10769800
183,10120000
184,9776300
185,9672900
186,13301200
187,9861800
188,8735700
189,9672900
190,9284300
191,9864200
192,9599600
193,9125500
194,10906900
195,8570400
196,9986700
197,10293400
198,8577200
199,9705800
200,8405000
201,9613100
202,8942400
203,9011200
204,10087900
205,9161100
206,9534900
207,14446300
208,12191600
209,12558500
210,15250400
211,10435200
212,9943700
213,9096900
214,13497100
215,13876400
216,12361000
217,9116000
218,9135200
219,12034400
220,21340100
221,17246000
222,21423100
223,16334400
224,10416200
225,8892200
226,10688200
227,10459000
228,10594800
229,9946600
230,11911000
231,9552100
232,9977300
233,11216800
234,16617000
235,18267600
236,17180300
237,14629100
238,12441400
239,9475000
240,9623500
241,8756500
242,10548200
243,13755600
244,14843800
245,13897100
246,11324500
247,9755800
248,10778300
249,10107800
250,9230300
251,9462100
252,8411400
253,9996900
254,11804200
255,11945700
256,13689100
257,16768700
258,18035400
259,17469100
260,17563600
261,11337600
262,10022500
263,11044300
264,11541700
265,8560900
266,10378900
267,12459700
268,10957200
269,9764200
270,10219200
271,10134900
272,13884100
273,11362800
274,9046800
275,9159600
276,9584900
277,9224200
278,12281000
279,16189200
280,15956400
281,11529400
282,9281100
283,9084000
284,9790200
285,9234600
286,9156800
287,11367600
288,10686000
289,11279300
290,12622400
291,8930500
292,9378200
293,12589400
294,16124100
295,17049200
296,13919400
297,15568000
298,16869200
299,15815100
300,17111400
301,16425600
302,16239200
303,14667800
304,18095500
305,15016700
306,11294100
307,9726000
308,8461000
309,10013700
310,9979500
311,8565500
312,9529100
313,8640600
314,9398700
315,9766000
316,8745000
317,9697700
318,8432000
319,10084000
320,9142800
321,8907700
322,10418300
323,9244300
324,10554800
325,9443100
326,8961200
327,9469100
328,9873500
329,8986900
330,11291900
331,10224500
332,10651600
333,9676000
334,9002000
335,10603600
336,11209400
337,8466200
338,9679100
339,9490000
340,8870700
341,10633500
342,9121000
343,9784400
344,9501400
345,9634500
346,14077100
347,16756500
348,16969700
349,18174300
350,15223700
351,18270800
352,15363400
353,14866500
354,17682800
355,17662900
356,15290000
357,10340000
358,9117900
359,10829100
360,9570700
361,13265400
362,16708500
363,15294100
364,14192500
365,11979200
366,10977100
367,11628500
368,10246300
369,12653800
370,11421100
371,11931100
372,13848300
373,15400700
374,16393900
375,16943600
376,16416700
377,18841900
378,18031700
379,15934500
380,10019600
381,9787100
382,12963600
383,10848200
384,8444800
385,9564500
386,8605000
387,10733900
388,9046600
389,9281400
390,11989000
391,16300400
392,14858600
393,16605100
394,16879900
395,18836400
396,16112400
397,16667500
398,17321100
399,16804800
400,17067000
401,13918800
402,15783500
403,16475300
404,17486400
405,14302100
406,15115600
407,16528800
408,16576700
409,10261700
410,9071200
411,9561300
412,8468600
413,10612100
414,9587100
415,9007000
416,10008600
417,10706700
418,9618100
419,9585700
420,9655500
421,9003300
422,10289900
423,8879400
424,9781300
425,10518400
426,8868700
427,9988700
428,9241400
429,9554900
430,11026000
431,8793700
432,11213300
433,18591000
434,13080200
435,9317800
436,8891000
437,12046600
438,10451100
439,8886100
440,9917900
441,11107100
442,9256000
443,9661400
444,10698300
445,8870100
446,10555700
447,10136300
448,9311000
449,10770400
450,8759000
451,10619400
452,12119000
453,10289100
454,9118500
455,9662800
456,8550300
457,9520100
458,10236500
459,11162300
460,9640100
461,8428900
462,9544800
463,13284800
464,13895300
465,16916400
466,12713700
467,8711300
468,10428900
469,10108500
470,9359000
471,10324700
472,9446000
473,9544400
474,9711000
475,9493900
476,10608400
477,10259900
478,8856300
479,10481000
480,9411900
481,9477500
482,11556600
483,9653900
484,10199400
485,9650500
486,9852000
487,10893100
488,8944100
489,9925300
490,12212300
491,12705400
492,16319000
493,19322400
494,16467100
495,13204900
496,13851500
497,19539000
498,14522300
499,16641200
500,9213600
501,8745700
502,9118000
503,13141600
504,16548800
505,19591100
506,18738000
507,13235200
508,18339500
509,14980000
510,10866900
511,8890800
512,10209500
513,9403300
514,9044000
515,10754200
516,19177600
517,10499800
518,12203400
519,10457000
520,10110100
521,14454000
522,15272800
523,16133200
524,18159800
525,18013800
526,16054600
527,13117000
528,16223300
529,22794100
530,20306400
531,15184200
532,14090100
533,11662200
534,8885200
535,8902400
536,8658700
537,9469800
538,8962600
539,9290700
540,9653100
541,9539500
542,11210100
543,16456700
544,18415200
545,16532800
546,11819800
547,11149900
548,8594300
549,11798000
550,9751400
551,8843600
552,9544900
553,9744400
554,8519800
555,10106600
556,9597100
557,11283400
558,22507100
559,11368500
560,10023700
561,9378100
562,9493500
563,13033400
564,19202400
565,14436600
566,20634200
567,15011100
568,9605200
569,9898400
570,12670600
571,16778400
572,16612600
573,15179500
574,9906600
575,10179000
576,10723900
577,9729600
578,12189700
579,9762200
580,9445200
581,9240200
582,9371300
583,9184700
584,9768700
585,10327000
586,8829100
587,10193700
588,9743400
589,9083500
590,9586400
591,9178400
592,9947700
593,11697800
594,8435900
595,10151700
596,9803300
597,9275700
598,12913500
599,13610400
600,17019400
