"medelvärden","nedre","övre"
7819404.64285714,7687093.80714019,7951715.47857409
7790935.71428571,7671744.44339816,7910126.98517327
7845258.92857143,7739940.10874018,7950577.74840268
8565017.67857143,8410442.9320007,8719592.42514216
8487392.85714286,8322605.6399341,8652180.07435161
7986463.92857143,7856207.77310624,8116720.08403662
10360182.8571429,9965382.59857302,10754983.1157127
12608330.7142857,12316717.0046709,12899944.4239005
12035458.5714286,11777443.8737436,12293473.2691135
11988696.0714286,11722933.6870583,12254458.4557988
