"medelvärden","nedre","övre"
665905.535714286,620530.694594633,711280.376833938
741857.142857143,680722.192442611,802992.093271674
843988.392857143,781671.35287862,906305.432835666
593753.392857143,561804.940863102,625701.844851184
567194.642857143,532320.325066384,602068.960647902
563964.107142857,530379.602475931,597548.611809783
645419.464285714,602338.358233094,688500.570338335
650044.464285714,614921.105311546,685167.823259882
519183.75,484553.953801542,553813.546198458
693416.785714286,651898.861768752,734934.709659819
