"medelvärden","nedre","övre"
8790110.1625,8668506.05078185,8911714.27421815
8765868.57321429,8626056.92019501,8905680.22623356
9100426.40714286,8951827.38256709,9249025.43171862
12777795.9160714,12441534.1922318,13114057.6399111
12639321.4035714,12372613.1482713,12906029.6588716
13702965.2285714,13380611.9354743,14025318.5216686
13001883.3857143,12698151.763758,13305615.0076706
11874400.5214286,11640459.263393,12108341.7794641
9173242.84285714,8922717.41032598,9423768.2753883
8446282.34107143,8299981.12168489,8592583.56045797
8380962.50535714,8255583.84051399,8506341.17020029
8357263.52142857,8229696.09995877,8484830.94289837
8761971.98035714,8590963.50503992,8932980.45567437
8747223.75714286,8594310.07789116,8900137.43639456
8532599.08928571,8394681.10004104,8670517.07853039
8707210.36964286,8529118.23922819,8885302.50005753
8523597.31964286,8375244.49477706,8671950.14450866
8634684.43392857,8479230.44051468,8790138.42734246
8581567.53214286,8429510.45062808,8733624.61365763
8668982.84464286,8521046.14114938,8816919.54813633
8640111.73035714,8511938.54769779,8768284.9130165
8551795.20892857,8430902.57219472,8672687.84566243
8625097.675,8496573.50539226,8753621.84460775
8951157.66428571,8800878.49526192,9101436.83330951
8493937.30357143,8379402.19503295,8608472.41210991
8934967.46607143,8802643.21179787,9067291.72034498
8746888.2375,8616748.90347359,8877027.57152642
8881228.75714286,8733232.04224664,9029225.47203907
8863786.77857143,8726344.51861726,9001229.0385256
8594352.51071429,8479339.2893241,8709365.73210447
9422810.73392857,9226810.39520807,9618811.07264907
8738860.32857143,8618213.71400725,8859506.94313561
9007187.30714286,8873735.06636739,9140639.54791833
9054139.98035714,8913833.85928609,9194446.1014282
8807218.92857143,8659822.51692586,8954615.340217
8769875.5625,8640030.10479395,8899721.02020605
8803107.33214286,8693157.40179905,8913057.26248667
9230980.00178571,9061083.85759454,9400876.14597689
8891254.65178571,8751820.8263083,9030688.47726312
8965624.26785714,8816506.09361293,9114742.44210136
9035543.39642857,8886932.64957316,9184154.14328399
8838414.43214286,8705383.01082588,8971445.85345984
8715242.63392857,8577654.74137205,8852830.52648509
8882322.00714286,8735182.96678752,9029461.04749819
8981134.23035714,8841745.13283667,9120523.32787762
8823229.6875,8689088.99042014,8957370.38457986
8958195.19642857,8804919.2429222,9111471.14993494
8968555.93392857,8839917.62070907,9097194.24714808
9708648.57142857,9505845.91609189,9911451.22676525
10704069.9607143,10467091.556779,10941048.3646495
11230692.1232143,11018424.6661328,11442959.5802958
9840113.01964286,9668206.57674309,10012019.4625426
9032518.5875,8898107.25860508,9166929.91639492
9429033.70714286,9282729.95690309,9575337.45738262
9219926.46071429,9082695.37785782,9357157.54357076
9494294.85357143,9347472.51941141,9641117.18773145
9754593.93928571,9640143.01266223,9869044.8659092
9807921.42321429,9681998.55699661,9933844.28943196
18990195.5535714,18456500.9982784,19523890.1088645
21857047.8267857,21399659.9175862,22314435.7359852
18559316.7767857,18277345.1358569,18841288.4177146
23636188.9571429,23263169.8344414,24009208.0798443
22866331.1214286,22625027.2408628,23107635.0019943
22268164.8160714,21981569.6180131,22554760.0141297
17314968.9160714,17144036.4303692,17485901.4017736
16451327.1553571,16141402.9925668,16761251.3181475
17832705.4125,17616055.9905785,18049354.8344215
17198893.6017857,17044319.6056287,17353467.5979427
18753127.1482143,18196939.1994402,19309315.0969884
16638657.85,16458779.2031922,16818536.4968078
18763887.475,18215864.8049947,19311910.1450053
26335568.1946429,25497911.442175,27173224.9471107
19998770.1625,19680156.116944,20317384.208056
15763027.8660714,15633867.4823021,15892188.2498408
15263211.4821429,15106450.2407564,15419972.7235293
14636503.2089286,14518437.581218,14754568.8366392
14255822.8732143,14143677.7896652,14367967.9567633
13932702.4928571,13816986.9649766,14048418.0207377
13735421.4285714,13595254.0571739,13875588.7999689
11508741.8089286,11332107.1466462,11685376.4712109
10587955.0232143,10460610.9760366,10715299.0703919
10276894.4928571,10179805.3072038,10373983.6785105
10355966.9446429,10212123.779083,10499810.1102027
10586417.3107143,10448315.1263798,10724519.4950488
10760516.4232143,10589774.0830868,10931258.7633417
10534179.4821429,10418492.4285149,10649866.5357709
15261793.5535714,14117095.5232862,16406491.5838566
16259420.3892857,15904522.1170717,16614318.6614997
11674882.6839286,11472614.2267171,11877151.14114
11130529.6053571,10901512.5891589,11359546.6215554
10571404.3035714,10401104.5332662,10741704.0738766
9951170.16071429,9786064.5580879,10116275.7633407
9935153.55178571,9771692.67391247,10098614.429659
12025129.625,11660428.6731645,12389830.5768355
14942112.1142857,13816996.1102101,16067228.1183613
9006222.175,8889859.67951815,9122584.67048186
9025954.80714286,8887136.42338047,9164773.19090525
9802048.425,9518856.65136241,10085240.1986376
9927099.16607143,9684524.58869649,10169673.7434464
13037195.1857143,12727869.5343935,13346520.837035
